Group,ID,Name,Punctuality (1),Active Participation (2),Knowledge / Skills (2),Manner (1),Presentation (2),Group Learning (2),Total (10)
6,STUDENT040,Mr. Nick Perez,1,1.9,1.9,1,1.9,1.9,9.6
6,STUDENT041,Ms. Olivia Roberts,1,1.7,1.7,0.9,1.7,1.7,8.7
6,STUDENT042,Mr. Peter Turner,1,1.8,1.8,0.9,1.8,1.8,9.1
7,STUDENT043,Ms. Quinn Phillips,1,1.6,1.8,0.8,1.8,1.6,8.6
7,STUDENT044,Mr. Ryan Campbell,1,1.7,1.7,0.9,1.7,1.7,8.7
7,STUDENT045,Ms. Sarah Parker,1,1.8,1.8,0.9,1.8,1.8,9.1
7,STUDENT046,Mr. Tyler Evans,1,1.5,1.6,0.8,1.6,1.5,8.0
7,STUDENT047,Ms. Uma Edwards,1,1.9,1.9,1,1.9,1.9,9.6
7,STUDENT048,Mr. Victor Collins,1,1.7,1.7,0.9,1.7,1.7,8.7
7,STUDENT049,Ms. Wendy Stewart,1,1.8,1.8,0.9,1.8,1.8,9.1
8,STUDENT050,Mr. Xavier Sanchez,1,1,1,1,0.5,0.5,5
8,STUDENT051,Ms. Yara Morris,1,1,1,1,0.5,0.5,5
8,STUDENT052,Mr. Zachary Rogers,1,1,1,1,0.5,0.5,5
8,STUDENT053,Ms. Amy Reed,1,1,1,1,0.5,0.5,5
8,STUDENT054,Mr. Ben Cook,1,1,1,1,0.5,0.5,5
8,STUDENT055,Ms. Chloe Morgan,1,1,1,1,0.5,0.5,5
8,STUDENT056,Mr. Daniel Bell,1,1,1,1,0.5,0.5,5
9,STUDENT057,Ms. Ella Murphy,1,2,2,1,2,1.5,9.5
9,STUDENT058,Mr. Finn Bailey,1,2,1.5,1,2,1.5,9
9,STUDENT059,Ms. Grace Rivera,1,1.5,1.5,1,1,1.5,7.5
9,STUDENT060,Mr. Hugo Cooper,1,1.5,1.5,1,1,1.5,7.5
9,STUDENT061,Ms. Iris Richardson,1,1.5,1.5,1,1,1.5,7.5
9,STUDENT062,Mr. Jake Cox,1,1.5,1.5,1,1,1.5,7.5
9,STUDENT063,Ms. Kelly Ward,1,1.5,1.5,1,1,1.5,7.5
10,STUDENT064,Mr. Leo Torres,1,0.5,0.5,1,0.5,2,5.5
10,STUDENT065,Ms. Mia Peterson,1,1.5,2,1,1,2,8.5
10,STUDENT066,Mr. Nick Gray,1,2,2,1,2,2,10
10,STUDENT067,Ms. Olivia Ramirez,1,2,2,1,2,2,10
10,STUDENT068,Mr. Peter James,1,1.5,2,1,2,2,9.5
10,STUDENT069,Ms. Quinn Watson,1,1.5,2,1,1,2,8.5
10,STUDENT070,Mr. Ryan Brooks,1,1.5,2,1,1,2,8.5
